============================= test session starts ==============================
platform linux -- Python 3.10.18, pytest-9.1.1, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch29_cuda/bin/python3.10
cachedir: .pytest_cache
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: anyio-4.9.0, typeguard-4.3.0
collecting ... WARNING 07-23 23:08:05 [interface.py:226] Failed to import from vllm._C: ImportError('/root/miniconda/envs/python310_torch29_cuda/lib/python3.10/site-packages/vllm/_C.abi3.so: undefined symbol: _ZN3c104cuda29c10_cuda_check_implementationEiPKcS2_jb')
WARNING 07-23 23:08:07 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:08:07 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:08:07 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:08:07 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:08:07 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:08:07 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:08:07 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:08:07 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:08:07 [interface.py:599] Current platform  does not have '__test__' attribute.
ERROR 07-23 23:08:08 [config.py:29] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: No module named 'triton.language.target_info'
collected 49951 items / 49591 deselected / 360 selected

test_add.py::test_add_[dtype0-0.001-shape0] PASSED
test_add.py::test_add_[dtype0-0.001-shape1] PASSED
test_add.py::test_add_[dtype0-0.001-shape2] PASSED
test_add.py::test_add_[dtype0-0.001-shape3] PASSED
test_add.py::test_add_[dtype0-0.001-shape4] PASSED
test_add.py::test_add_[dtype0-0.001-shape5] PASSED
test_add.py::test_add_[dtype0--0.999-shape0] PASSED
test_add.py::test_add_[dtype0--0.999-shape1] PASSED
test_add.py::test_add_[dtype0--0.999-shape2] PASSED
test_add.py::test_add_[dtype0--0.999-shape3] PASSED
test_add.py::test_add_[dtype0--0.999-shape4] PASSED
test_add.py::test_add_[dtype0--0.999-shape5] PASSED
test_add.py::test_add_[dtype0-100.001-shape0] PASSED
test_add.py::test_add_[dtype0-100.001-shape1] PASSED
test_add.py::test_add_[dtype0-100.001-shape2] PASSED
test_add.py::test_add_[dtype0-100.001-shape3] PASSED
test_add.py::test_add_[dtype0-100.001-shape4] PASSED
test_add.py::test_add_[dtype0-100.001-shape5] PASSED
test_add.py::test_add_[dtype0--111.999-shape0] PASSED
test_add.py::test_add_[dtype0--111.999-shape1] PASSED
test_add.py::test_add_[dtype0--111.999-shape2] PASSED
test_add.py::test_add_[dtype0--111.999-shape3] PASSED
test_add.py::test_add_[dtype0--111.999-shape4] PASSED
test_add.py::test_add_[dtype0--111.999-shape5] PASSED
test_add.py::test_add_[dtype1-0.001-shape0] PASSED
test_add.py::test_add_[dtype1-0.001-shape1] PASSED
test_add.py::test_add_[dtype1-0.001-shape2] PASSED
test_add.py::test_add_[dtype1-0.001-shape3] PASSED
test_add.py::test_add_[dtype1-0.001-shape4] PASSED
test_add.py::test_add_[dtype1-0.001-shape5] PASSED
test_add.py::test_add_[dtype1--0.999-shape0] PASSED
test_add.py::test_add_[dtype1--0.999-shape1] PASSED
test_add.py::test_add_[dtype1--0.999-shape2] PASSED
test_add.py::test_add_[dtype1--0.999-shape3] PASSED
test_add.py::test_add_[dtype1--0.999-shape4] PASSED
test_add.py::test_add_[dtype1--0.999-shape5] PASSED
test_add.py::test_add_[dtype1-100.001-shape0] PASSED
test_add.py::test_add_[dtype1-100.001-shape1] PASSED
test_add.py::test_add_[dtype1-100.001-shape2] PASSED
test_add.py::test_add_[dtype1-100.001-shape3] PASSED
test_add.py::test_add_[dtype1-100.001-shape4] PASSED
test_add.py::test_add_[dtype1-100.001-shape5] PASSED
test_add.py::test_add_[dtype1--111.999-shape0] PASSED
test_add.py::test_add_[dtype1--111.999-shape1] PASSED
test_add.py::test_add_[dtype1--111.999-shape2] PASSED
test_add.py::test_add_[dtype1--111.999-shape3] PASSED
test_add.py::test_add_[dtype1--111.999-shape4] PASSED
test_add.py::test_add_[dtype1--111.999-shape5] PASSED
test_add.py::test_add_[dtype2-0.001-shape0] PASSED
test_add.py::test_add_[dtype2-0.001-shape1] PASSED
test_add.py::test_add_[dtype2-0.001-shape2] PASSED
test_add.py::test_add_[dtype2-0.001-shape3] PASSED
test_add.py::test_add_[dtype2-0.001-shape4] PASSED
test_add.py::test_add_[dtype2-0.001-shape5] PASSED
test_add.py::test_add_[dtype2--0.999-shape0] PASSED
test_add.py::test_add_[dtype2--0.999-shape1] PASSED
test_add.py::test_add_[dtype2--0.999-shape2] PASSED
test_add.py::test_add_[dtype2--0.999-shape3] PASSED
test_add.py::test_add_[dtype2--0.999-shape4] PASSED
test_add.py::test_add_[dtype2--0.999-shape5] PASSED
test_add.py::test_add_[dtype2-100.001-shape0] PASSED
test_add.py::test_add_[dtype2-100.001-shape1] PASSED
test_add.py::test_add_[dtype2-100.001-shape2] PASSED
test_add.py::test_add_[dtype2-100.001-shape3] PASSED
test_add.py::test_add_[dtype2-100.001-shape4] PASSED
test_add.py::test_add_[dtype2-100.001-shape5] PASSED
test_add.py::test_add_[dtype2--111.999-shape0] PASSED
test_add.py::test_add_[dtype2--111.999-shape1] PASSED
test_add.py::test_add_[dtype2--111.999-shape2] PASSED
test_add.py::test_add_[dtype2--111.999-shape3] PASSED
test_add.py::test_add_[dtype2--111.999-shape4] PASSED
test_add.py::test_add_[dtype2--111.999-shape5] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001-0.001-shape0] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001-0.001-shape1] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001-0.001-shape2] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001-0.001-shape3] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001-0.001-shape4] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001-0.001-shape5] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001--0.999-shape0] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001--0.999-shape1] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001--0.999-shape2] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001--0.999-shape3] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001--0.999-shape4] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001--0.999-shape5] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001-100.001-shape0] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001-100.001-shape1] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001-100.001-shape2] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001-100.001-shape3] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001-100.001-shape4] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001-100.001-shape5] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001--111.999-shape0] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001--111.999-shape1] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001--111.999-shape2] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001--111.999-shape3] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001--111.999-shape4] PASSED
test_add.py::test_add_tensor_scalar_[dtype0-0.001--111.999-shape5] PASSED
test_add.py::test_add_tensor_scalar_[dtype0--0.999-0.001-shape0] PASSED
test_add.py::test_add_tensor_scalar_[dtype0--0.999-0.001-shape1] PASSED
test_add.py::test_add_tensor_scalar_[dtype0--0.999-0.001-shape2] PASSED
test_add.py::test_add_tensor_scalar_[dtype0--0.999-0.001-shape3] PASSED
test_add.py::test_add_tensor_scalar_[dtype0--0.999-0.001-shape4] PASSED
test_add.py::test_add_tensor_scalar_[dtype0--0.999-0.001-shape5] PASSED
test_add.py::test_add_tensor_scalar_[dtype0--0.999--0.999-shape0] PASSED
test_add.py::test_add_tensor_scalar_[dtype0--0.999--0.999-shape1] PASSED
test_add.py::test_add_tensor_scalar_[dtype0--0.999--0.999-shape2] PASSED
test_add.py::test_add_tensor_scalar_[dtype0--0.999--0.999-shape3] PASSED
