============================= test session starts ==============================
platform linux -- Python 3.10.18, pytest-9.1.1, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch29_cuda/bin/python3.10
cachedir: .pytest_cache
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: anyio-4.9.0, typeguard-4.3.0
collecting ... WARNING 07-23 23:18:28 [interface.py:226] Failed to import from vllm._C: ImportError('/root/miniconda/envs/python310_torch29_cuda/lib/python3.10/site-packages/vllm/_C.abi3.so: undefined symbol: _ZN3c104cuda29c10_cuda_check_implementationEiPKcS2_jb')
WARNING 07-23 23:18:30 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:18:30 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:18:30 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:18:30 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:18:30 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:18:30 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:18:30 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:18:30 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:18:30 [interface.py:599] Current platform  does not have '__test__' attribute.
ERROR 07-23 23:18:31 [config.py:29] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: No module named 'triton.language.target_info'
collected 49951 items / 49825 deselected / 126 selected

test_argmax.py::test_argmax[dtype0-True-0-shape0] PASSED
test_argmax.py::test_argmax[dtype0-True-0-shape1] PASSED
test_argmax.py::test_argmax[dtype0-True-0-shape2] PASSED
test_argmax.py::test_argmax[dtype0-True-0-shape3] PASSED
test_argmax.py::test_argmax[dtype0-True-0-shape4] PASSED
test_argmax.py::test_argmax[dtype0-True-0-shape5] PASSED
test_argmax.py::test_argmax[dtype0-True-0-shape6] PASSED
test_argmax.py::test_argmax[dtype0-True-1-shape0] PASSED
test_argmax.py::test_argmax[dtype0-True-1-shape1] PASSED
test_argmax.py::test_argmax[dtype0-True-1-shape2] PASSED
test_argmax.py::test_argmax[dtype0-True-1-shape3] PASSED
test_argmax.py::test_argmax[dtype0-True-1-shape4] PASSED
test_argmax.py::test_argmax[dtype0-True-1-shape5] PASSED
test_argmax.py::test_argmax[dtype0-True-1-shape6] PASSED
test_argmax.py::test_argmax[dtype0-True-None-shape0] PASSED
test_argmax.py::test_argmax[dtype0-True-None-shape1] PASSED
test_argmax.py::test_argmax[dtype0-True-None-shape2] PASSED
test_argmax.py::test_argmax[dtype0-True-None-shape3] PASSED
test_argmax.py::test_argmax[dtype0-True-None-shape4] PASSED
test_argmax.py::test_argmax[dtype0-True-None-shape5] PASSED
test_argmax.py::test_argmax[dtype0-True-None-shape6] PASSED
test_argmax.py::test_argmax[dtype0-False-0-shape0] PASSED
test_argmax.py::test_argmax[dtype0-False-0-shape1] PASSED
test_argmax.py::test_argmax[dtype0-False-0-shape2] PASSED
test_argmax.py::test_argmax[dtype0-False-0-shape3] PASSED
test_argmax.py::test_argmax[dtype0-False-0-shape4] PASSED
test_argmax.py::test_argmax[dtype0-False-0-shape5] PASSED
test_argmax.py::test_argmax[dtype0-False-0-shape6] PASSED
test_argmax.py::test_argmax[dtype0-False-1-shape0] PASSED
test_argmax.py::test_argmax[dtype0-False-1-shape1] PASSED
test_argmax.py::test_argmax[dtype0-False-1-shape2] PASSED
test_argmax.py::test_argmax[dtype0-False-1-shape3] PASSED
test_argmax.py::test_argmax[dtype0-False-1-shape4] PASSED
test_argmax.py::test_argmax[dtype0-False-1-shape5] PASSED
test_argmax.py::test_argmax[dtype0-False-1-shape6] PASSED
test_argmax.py::test_argmax[dtype0-False-None-shape0] PASSED
test_argmax.py::test_argmax[dtype0-False-None-shape1] PASSED
test_argmax.py::test_argmax[dtype0-False-None-shape2] PASSED
test_argmax.py::test_argmax[dtype0-False-None-shape3] PASSED
test_argmax.py::test_argmax[dtype0-False-None-shape4] PASSED
test_argmax.py::test_argmax[dtype0-False-None-shape5] PASSED
test_argmax.py::test_argmax[dtype0-False-None-shape6] PASSED
test_argmax.py::test_argmax[dtype1-True-0-shape0] PASSED
test_argmax.py::test_argmax[dtype1-True-0-shape1] PASSED
test_argmax.py::test_argmax[dtype1-True-0-shape2] PASSED
test_argmax.py::test_argmax[dtype1-True-0-shape3] PASSED
test_argmax.py::test_argmax[dtype1-True-0-shape4] PASSED
test_argmax.py::test_argmax[dtype1-True-0-shape5] PASSED
test_argmax.py::test_argmax[dtype1-True-0-shape6] PASSED
test_argmax.py::test_argmax[dtype1-True-1-shape0] PASSED
test_argmax.py::test_argmax[dtype1-True-1-shape1] PASSED
test_argmax.py::test_argmax[dtype1-True-1-shape2] PASSED
test_argmax.py::test_argmax[dtype1-True-1-shape3] PASSED
test_argmax.py::test_argmax[dtype1-True-1-shape4] PASSED
test_argmax.py::test_argmax[dtype1-True-1-shape5] PASSED
test_argmax.py::test_argmax[dtype1-True-1-shape6] PASSED
test_argmax.py::test_argmax[dtype1-True-None-shape0] PASSED
test_argmax.py::test_argmax[dtype1-True-None-shape1] PASSED
test_argmax.py::test_argmax[dtype1-True-None-shape2] PASSED
test_argmax.py::test_argmax[dtype1-True-None-shape3] PASSED
test_argmax.py::test_argmax[dtype1-True-None-shape4] PASSED
test_argmax.py::test_argmax[dtype1-True-None-shape5] PASSED
test_argmax.py::test_argmax[dtype1-True-None-shape6] PASSED
test_argmax.py::test_argmax[dtype1-False-0-shape0] PASSED
test_argmax.py::test_argmax[dtype1-False-0-shape1] PASSED
test_argmax.py::test_argmax[dtype1-False-0-shape2] PASSED
test_argmax.py::test_argmax[dtype1-False-0-shape3] PASSED
test_argmax.py::test_argmax[dtype1-False-0-shape4] PASSED
test_argmax.py::test_argmax[dtype1-False-0-shape5] PASSED
test_argmax.py::test_argmax[dtype1-False-0-shape6] PASSED
test_argmax.py::test_argmax[dtype1-False-1-shape0] PASSED
test_argmax.py::test_argmax[dtype1-False-1-shape1] PASSED
test_argmax.py::test_argmax[dtype1-False-1-shape2] PASSED
test_argmax.py::test_argmax[dtype1-False-1-shape3] PASSED
test_argmax.py::test_argmax[dtype1-False-1-shape4] PASSED
test_argmax.py::test_argmax[dtype1-False-1-shape5] PASSED
test_argmax.py::test_argmax[dtype1-False-1-shape6] PASSED
test_argmax.py::test_argmax[dtype1-False-None-shape0] PASSED
test_argmax.py::test_argmax[dtype1-False-None-shape1] PASSED
test_argmax.py::test_argmax[dtype1-False-None-shape2] PASSED
test_argmax.py::test_argmax[dtype1-False-None-shape3] PASSED
test_argmax.py::test_argmax[dtype1-False-None-shape4] PASSED
test_argmax.py::test_argmax[dtype1-False-None-shape5] PASSED
test_argmax.py::test_argmax[dtype1-False-None-shape6] PASSED
test_argmax.py::test_argmax[dtype2-True-0-shape0] PASSED
test_argmax.py::test_argmax[dtype2-True-0-shape1] PASSED
test_argmax.py::test_argmax[dtype2-True-0-shape2] PASSED
test_argmax.py::test_argmax[dtype2-True-0-shape3] PASSED
test_argmax.py::test_argmax[dtype2-True-0-shape4] PASSED
test_argmax.py::test_argmax[dtype2-True-0-shape5] PASSED
test_argmax.py::test_argmax[dtype2-True-0-shape6] PASSED
test_argmax.py::test_argmax[dtype2-True-1-shape0] PASSED
test_argmax.py::test_argmax[dtype2-True-1-shape1] PASSED
test_argmax.py::test_argmax[dtype2-True-1-shape2] PASSED
test_argmax.py::test_argmax[dtype2-True-1-shape3] PASSED
test_argmax.py::test_argmax[dtype2-True-1-shape4] PASSED
test_argmax.py::test_argmax[dtype2-True-1-shape5] PASSED
test_argmax.py::test_argmax[dtype2-True-1-shape6] PASSED
test_argmax.py::test_argmax[dtype2-True-None-shape0] PASSED
test_argmax.py::test_argmax[dtype2-True-None-shape1] PASSED
test_argmax.py::test_argmax[dtype2-True-None-shape2] PASSED
test_argmax.py::test_argmax[dtype2-True-None-shape3] PASSED
test_argmax.py::test_argmax[dtype2-True-None-shape4] PASSED
test_argmax.py::test_argmax[dtype2-True-None-shape5] PASSED
test_argmax.py::test_argmax[dtype2-True-None-shape6] PASSED
test_argmax.py::test_argmax[dtype2-False-0-shape0] PASSED
test_argmax.py::test_argmax[dtype2-False-0-shape1] PASSED
test_argmax.py::test_argmax[dtype2-False-0-shape2] PASSED
test_argmax.py::test_argmax[dtype2-False-0-shape3] PASSED
