============================= test session starts ==============================
platform linux -- Python 3.10.18, pytest-9.1.1, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch29_cuda/bin/python3.10
cachedir: .pytest_cache
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: anyio-4.9.0, typeguard-4.3.0
collecting ... WARNING 07-23 23:34:11 [interface.py:226] Failed to import from vllm._C: ImportError('/root/miniconda/envs/python310_torch29_cuda/lib/python3.10/site-packages/vllm/_C.abi3.so: undefined symbol: _ZN3c104cuda29c10_cuda_check_implementationEiPKcS2_jb')
WARNING 07-23 23:34:14 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:34:14 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:34:14 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:34:14 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:34:14 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:34:14 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:34:14 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:34:14 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:34:14 [interface.py:599] Current platform  does not have '__test__' attribute.
ERROR 07-23 23:34:15 [config.py:29] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: No module named 'triton.language.target_info'
collected 49951 items / 49815 deselected / 136 selected

test_concatenate.py::test_concatenate[dtype0-shape0-0] PASSED
test_concatenate.py::test_concatenate[dtype0-shape1-1] FAILED
test_concatenate.py::test_concatenate[dtype0-shape2--1] FAILED
test_concatenate.py::test_concatenate[dtype0-shape3-0] PASSED
test_concatenate.py::test_concatenate[dtype0-shape4-1] FAILED
test_concatenate.py::test_concatenate[dtype0-shape5--1] FAILED
test_concatenate.py::test_concatenate[dtype0-shape6-0] PASSED
test_concatenate.py::test_concatenate[dtype0-shape7-1] FAILED
test_concatenate.py::test_concatenate[dtype0-shape8--1] FAILED
test_concatenate.py::test_concatenate[dtype0-shape9-0] PASSED
test_concatenate.py::test_concatenate[dtype0-shape10-1] FAILED
test_concatenate.py::test_concatenate[dtype0-shape11--2] FAILED
test_concatenate.py::test_concatenate[dtype0-shape12-2] FAILED
test_concatenate.py::test_concatenate[dtype0-shape13--1] FAILED
test_concatenate.py::test_concatenate[dtype0-shape14-0] PASSED
test_concatenate.py::test_concatenate[dtype0-shape15-1] FAILED
test_concatenate.py::test_concatenate[dtype0-shape16--2] FAILED
test_concatenate.py::test_concatenate[dtype0-shape17-2] FAILED
test_concatenate.py::test_concatenate[dtype0-shape18--1] FAILED
test_concatenate.py::test_concatenate[dtype0-shape19-0] PASSED
test_concatenate.py::test_concatenate[dtype0-shape20-1] FAILED
test_concatenate.py::test_concatenate[dtype0-shape21--3] FAILED
test_concatenate.py::test_concatenate[dtype0-shape22-2] FAILED
test_concatenate.py::test_concatenate[dtype0-shape23--2] FAILED
test_concatenate.py::test_concatenate[dtype0-shape24-3] FAILED
test_concatenate.py::test_concatenate[dtype0-shape25--1] FAILED
test_concatenate.py::test_concatenate[dtype1-shape0-0] PASSED
test_concatenate.py::test_concatenate[dtype1-shape1-1] FAILED
test_concatenate.py::test_concatenate[dtype1-shape2--1] FAILED
test_concatenate.py::test_concatenate[dtype1-shape3-0] PASSED
test_concatenate.py::test_concatenate[dtype1-shape4-1] FAILED
test_concatenate.py::test_concatenate[dtype1-shape5--1] FAILED
test_concatenate.py::test_concatenate[dtype1-shape6-0] PASSED
test_concatenate.py::test_concatenate[dtype1-shape7-1] FAILED
test_concatenate.py::test_concatenate[dtype1-shape8--1] FAILED
test_concatenate.py::test_concatenate[dtype1-shape9-0] PASSED
test_concatenate.py::test_concatenate[dtype1-shape10-1] FAILED
test_concatenate.py::test_concatenate[dtype1-shape11--2] FAILED
test_concatenate.py::test_concatenate[dtype1-shape12-2] FAILED
test_concatenate.py::test_concatenate[dtype1-shape13--1] FAILED
test_concatenate.py::test_concatenate[dtype1-shape14-0] PASSED
test_concatenate.py::test_concatenate[dtype1-shape15-1] FAILED
test_concatenate.py::test_concatenate[dtype1-shape16--2] FAILED
test_concatenate.py::test_concatenate[dtype1-shape17-2] FAILED
test_concatenate.py::test_concatenate[dtype1-shape18--1] FAILED
test_concatenate.py::test_concatenate[dtype1-shape19-0] PASSED
test_concatenate.py::test_concatenate[dtype1-shape20-1] FAILED
test_concatenate.py::test_concatenate[dtype1-shape21--3] FAILED
test_concatenate.py::test_concatenate[dtype1-shape22-2] FAILED
test_concatenate.py::test_concatenate[dtype1-shape23--2] FAILED
test_concatenate.py::test_concatenate[dtype1-shape24-3] FAILED
test_concatenate.py::test_concatenate[dtype1-shape25--1] FAILED
test_concatenate.py::test_concatenate[dtype2-shape0-0] PASSED
test_concatenate.py::test_concatenate[dtype2-shape1-1] FAILED
test_concatenate.py::test_concatenate[dtype2-shape2--1] FAILED
test_concatenate.py::test_concatenate[dtype2-shape3-0] PASSED
test_concatenate.py::test_concatenate[dtype2-shape4-1] FAILED
test_concatenate.py::test_concatenate[dtype2-shape5--1] FAILED
test_concatenate.py::test_concatenate[dtype2-shape6-0] PASSED
test_concatenate.py::test_concatenate[dtype2-shape7-1] FAILED
test_concatenate.py::test_concatenate[dtype2-shape8--1] FAILED
test_concatenate.py::test_concatenate[dtype2-shape9-0] PASSED
test_concatenate.py::test_concatenate[dtype2-shape10-1] FAILED
test_concatenate.py::test_concatenate[dtype2-shape11--2] FAILED
test_concatenate.py::test_concatenate[dtype2-shape12-2] FAILED
test_concatenate.py::test_concatenate[dtype2-shape13--1] FAILED
test_concatenate.py::test_concatenate[dtype2-shape14-0] PASSED
test_concatenate.py::test_concatenate[dtype2-shape15-1] FAILED
test_concatenate.py::test_concatenate[dtype2-shape16--2] FAILED
test_concatenate.py::test_concatenate[dtype2-shape17-2] FAILED
test_concatenate.py::test_concatenate[dtype2-shape18--1] FAILED
test_concatenate.py::test_concatenate[dtype2-shape19-0] PASSED
test_concatenate.py::test_concatenate[dtype2-shape20-1] FAILED
test_concatenate.py::test_concatenate[dtype2-shape21--3] FAILED
test_concatenate.py::test_concatenate[dtype2-shape22-2] FAILED
test_concatenate.py::test_concatenate[dtype2-shape23--2] FAILED
test_concatenate.py::test_concatenate[dtype2-shape24-3] FAILED
test_concatenate.py::test_concatenate[dtype2-shape25--1] FAILED
test_concatenate.py::test_concatenate[dtype3-shape0-0] PASSED
test_concatenate.py::test_concatenate[dtype3-shape1-1] FAILED
test_concatenate.py::test_concatenate[dtype3-shape2--1] FAILED
test_concatenate.py::test_concatenate[dtype3-shape3-0] PASSED
test_concatenate.py::test_concatenate[dtype3-shape4-1] FAILED
test_concatenate.py::test_concatenate[dtype3-shape5--1] FAILED
test_concatenate.py::test_concatenate[dtype3-shape6-0] PASSED
test_concatenate.py::test_concatenate[dtype3-shape7-1] FAILED
test_concatenate.py::test_concatenate[dtype3-shape8--1] FAILED
test_concatenate.py::test_concatenate[dtype3-shape9-0] PASSED
test_concatenate.py::test_concatenate[dtype3-shape10-1] FAILED
test_concatenate.py::test_concatenate[dtype3-shape11--2] FAILED
test_concatenate.py::test_concatenate[dtype3-shape12-2] FAILED
test_concatenate.py::test_concatenate[dtype3-shape13--1] FAILED
test_concatenate.py::test_concatenate[dtype3-shape14-0] PASSED
test_concatenate.py::test_concatenate[dtype3-shape15-1] FAILED
test_concatenate.py::test_concatenate[dtype3-shape16--2] FAILED
test_concatenate.py::test_concatenate[dtype3-shape17-2] FAILED
test_concatenate.py::test_concatenate[dtype3-shape18--1] FAILED
test_concatenate.py::test_concatenate[dtype3-shape19-0] PASSED
test_concatenate.py::test_concatenate[dtype3-shape20-1] FAILED
test_concatenate.py::test_concatenate[dtype3-shape21--3] FAILED
test_concatenate.py::test_concatenate[dtype3-shape22-2] FAILED
test_concatenate.py::test_concatenate[dtype3-shape23--2] FAILED
test_concatenate.py::test_concatenate[dtype3-shape24-3] FAILED
test_concatenate.py::test_concatenate[dtype3-shape25--1] FAILED
test_concatenate.py::test_concatenate[dtype4-shape0-0] PASSED
test_concatenate.py::test_concatenate[dtype4-shape1-1] FAILED
test_concatenate.py::test_concatenate[dtype4-shape2--1] FAILED
test_concatenate.py::test_concatenate[dtype4-shape3-0] PASSED
test_concatenate.py::test_concatenate[dtype4-shape4-1] FAILED
