============================= test session starts ==============================
platform linux -- Python 3.10.18, pytest-9.1.1, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch29_cuda/bin/python3.10
cachedir: .pytest_cache
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: anyio-4.9.0, typeguard-4.3.0
collecting ... WARNING 07-23 23:43:08 [interface.py:226] Failed to import from vllm._C: ImportError('/root/miniconda/envs/python310_torch29_cuda/lib/python3.10/site-packages/vllm/_C.abi3.so: undefined symbol: _ZN3c104cuda29c10_cuda_check_implementationEiPKcS2_jb')
WARNING 07-23 23:43:10 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:43:10 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:43:10 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:43:10 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:43:10 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:43:10 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:43:10 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:43:10 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:43:10 [interface.py:599] Current platform  does not have '__test__' attribute.
ERROR 07-23 23:43:12 [config.py:29] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: No module named 'triton.language.target_info'
collected 49951 items / 49321 deselected / 630 selected

test_diag.py::test_diag[dtype0--2-shape0] PASSED
test_diag.py::test_diag[dtype0--2-shape1] PASSED
test_diag.py::test_diag[dtype0--2-shape2] PASSED
test_diag.py::test_diag[dtype0--2-shape3] PASSED
test_diag.py::test_diag[dtype0--2-shape4] PASSED
test_diag.py::test_diag[dtype0--2-shape5] PASSED
test_diag.py::test_diag[dtype0--2-shape6] PASSED
test_diag.py::test_diag[dtype0--2-shape7] PASSED
test_diag.py::test_diag[dtype0--2-shape8] PASSED
test_diag.py::test_diag[dtype0--2-shape9] PASSED
test_diag.py::test_diag[dtype0--2-shape10] PASSED
test_diag.py::test_diag[dtype0--2-shape11] PASSED
test_diag.py::test_diag[dtype0--2-shape12] PASSED
test_diag.py::test_diag[dtype0--2-shape13] PASSED
test_diag.py::test_diag[dtype0--2-shape14] PASSED
test_diag.py::test_diag[dtype0--2-shape15] PASSED
test_diag.py::test_diag[dtype0--2-shape16] PASSED
test_diag.py::test_diag[dtype0--2-shape17] PASSED
test_diag.py::test_diag[dtype0--2-shape18] PASSED
test_diag.py::test_diag[dtype0--2-shape19] PASSED
test_diag.py::test_diag[dtype0--2-shape20] PASSED
test_diag.py::test_diag[dtype0--1-shape0] PASSED
test_diag.py::test_diag[dtype0--1-shape1] PASSED
test_diag.py::test_diag[dtype0--1-shape2] PASSED
test_diag.py::test_diag[dtype0--1-shape3] PASSED
test_diag.py::test_diag[dtype0--1-shape4] PASSED
test_diag.py::test_diag[dtype0--1-shape5] PASSED
test_diag.py::test_diag[dtype0--1-shape6] PASSED
test_diag.py::test_diag[dtype0--1-shape7] PASSED
test_diag.py::test_diag[dtype0--1-shape8] PASSED
test_diag.py::test_diag[dtype0--1-shape9] PASSED
test_diag.py::test_diag[dtype0--1-shape10] PASSED
test_diag.py::test_diag[dtype0--1-shape11] PASSED
test_diag.py::test_diag[dtype0--1-shape12] PASSED
test_diag.py::test_diag[dtype0--1-shape13] PASSED
test_diag.py::test_diag[dtype0--1-shape14] PASSED
test_diag.py::test_diag[dtype0--1-shape15] PASSED
test_diag.py::test_diag[dtype0--1-shape16] PASSED
test_diag.py::test_diag[dtype0--1-shape17] PASSED
test_diag.py::test_diag[dtype0--1-shape18] PASSED
test_diag.py::test_diag[dtype0--1-shape19] PASSED
test_diag.py::test_diag[dtype0--1-shape20] PASSED
test_diag.py::test_diag[dtype0-0-shape0] PASSED
test_diag.py::test_diag[dtype0-0-shape1] PASSED
test_diag.py::test_diag[dtype0-0-shape2] PASSED
test_diag.py::test_diag[dtype0-0-shape3] PASSED
test_diag.py::test_diag[dtype0-0-shape4] PASSED
test_diag.py::test_diag[dtype0-0-shape5] PASSED
test_diag.py::test_diag[dtype0-0-shape6] PASSED
test_diag.py::test_diag[dtype0-0-shape7] PASSED
test_diag.py::test_diag[dtype0-0-shape8] PASSED
test_diag.py::test_diag[dtype0-0-shape9] PASSED
test_diag.py::test_diag[dtype0-0-shape10] PASSED
test_diag.py::test_diag[dtype0-0-shape11] PASSED
test_diag.py::test_diag[dtype0-0-shape12] PASSED
test_diag.py::test_diag[dtype0-0-shape13] PASSED
test_diag.py::test_diag[dtype0-0-shape14] PASSED
test_diag.py::test_diag[dtype0-0-shape15] PASSED
test_diag.py::test_diag[dtype0-0-shape16] PASSED
test_diag.py::test_diag[dtype0-0-shape17] PASSED
test_diag.py::test_diag[dtype0-0-shape18] PASSED
test_diag.py::test_diag[dtype0-0-shape19] PASSED
test_diag.py::test_diag[dtype0-0-shape20] PASSED
test_diag.py::test_diag[dtype0-1-shape0] PASSED
test_diag.py::test_diag[dtype0-1-shape1] PASSED
test_diag.py::test_diag[dtype0-1-shape2] PASSED
test_diag.py::test_diag[dtype0-1-shape3] PASSED
test_diag.py::test_diag[dtype0-1-shape4] PASSED
test_diag.py::test_diag[dtype0-1-shape5] PASSED
test_diag.py::test_diag[dtype0-1-shape6] PASSED
test_diag.py::test_diag[dtype0-1-shape7] PASSED
test_diag.py::test_diag[dtype0-1-shape8] PASSED
test_diag.py::test_diag[dtype0-1-shape9] PASSED
test_diag.py::test_diag[dtype0-1-shape10] PASSED
test_diag.py::test_diag[dtype0-1-shape11] PASSED
test_diag.py::test_diag[dtype0-1-shape12] PASSED
test_diag.py::test_diag[dtype0-1-shape13] PASSED
test_diag.py::test_diag[dtype0-1-shape14] PASSED
test_diag.py::test_diag[dtype0-1-shape15] PASSED
test_diag.py::test_diag[dtype0-1-shape16] PASSED
test_diag.py::test_diag[dtype0-1-shape17] PASSED
test_diag.py::test_diag[dtype0-1-shape18] PASSED
test_diag.py::test_diag[dtype0-1-shape19] PASSED
test_diag.py::test_diag[dtype0-1-shape20] PASSED
test_diag.py::test_diag[dtype0-2-shape0] PASSED
test_diag.py::test_diag[dtype0-2-shape1] PASSED
test_diag.py::test_diag[dtype0-2-shape2] PASSED
test_diag.py::test_diag[dtype0-2-shape3] PASSED
test_diag.py::test_diag[dtype0-2-shape4] PASSED
test_diag.py::test_diag[dtype0-2-shape5] PASSED
test_diag.py::test_diag[dtype0-2-shape6] PASSED
test_diag.py::test_diag[dtype0-2-shape7] PASSED
test_diag.py::test_diag[dtype0-2-shape8] PASSED
test_diag.py::test_diag[dtype0-2-shape9] PASSED
test_diag.py::test_diag[dtype0-2-shape10] PASSED
test_diag.py::test_diag[dtype0-2-shape11] PASSED
test_diag.py::test_diag[dtype0-2-shape12] PASSED
test_diag.py::test_diag[dtype0-2-shape13] PASSED
test_diag.py::test_diag[dtype0-2-shape14] PASSED
test_diag.py::test_diag[dtype0-2-shape15] PASSED
test_diag.py::test_diag[dtype0-2-shape16] PASSED
test_diag.py::test_diag[dtype0-2-shape17] PASSED
test_diag.py::test_diag[dtype0-2-shape18] PASSED
test_diag.py::test_diag[dtype0-2-shape19] PASSED
test_diag.py::test_diag[dtype0-2-shape20] PASSED
test_diag.py::test_diag[dtype1--2-shape0] PASSED
test_diag.py::test_diag[dtype1--2-shape1] PASSED
test_diag.py::test_diag[dtype1--2-shape2] PASSED
test_diag.py::test_diag[dtype1--2-shape3] PASSED
test_diag.py::test_diag[dtype1--2-shape4] PASSED
test_diag.py::test_diag[dtype1--2-shape5] PASSED
test_diag.py::test_diag[dtype1--2-shape6] PASSED
test_diag.py::test_diag[dtype1--2-shape7] PASSED
test_diag.py::test_diag[dtype1--2-shape8] PASSED
test_diag.py::test_diag[dtype1--2-shape9] PASSED
test_diag.py::test_diag[dtype1--2-shape10] PASSED
test_diag.py::test_diag[dtype1--2-shape11] PASSED
test_diag.py::test_diag[dtype1--2-shape12] PASSED
test_diag.py::test_diag[dtype1--2-shape13] PASSED
test_diag.py::test_diag[dtype1--2-shape14] PASSED
test_diag.py::test_diag[dtype1--2-shape15] PASSED
test_diag.py::test_diag[dtype1--2-shape16] PASSED
test_diag.py::test_diag[dtype1--2-shape17] PASSED
test_diag.py::test_diag[dtype1--2-shape18] PASSED
