============================= test session starts ==============================
platform linux -- Python 3.10.18, pytest-9.1.1, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch29_cuda/bin/python3.10
cachedir: .pytest_cache
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: anyio-4.9.0, typeguard-4.3.0
collecting ... WARNING 07-23 23:58:36 [interface.py:226] Failed to import from vllm._C: ImportError('/root/miniconda/envs/python310_torch29_cuda/lib/python3.10/site-packages/vllm/_C.abi3.so: undefined symbol: _ZN3c104cuda29c10_cuda_check_implementationEiPKcS2_jb')
WARNING 07-23 23:58:38 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:58:38 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:58:38 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:58:38 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:58:38 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:58:38 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:58:38 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-23 23:58:38 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-23 23:58:38 [interface.py:599] Current platform  does not have '__test__' attribute.
ERROR 07-23 23:58:39 [config.py:29] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: No module named 'triton.language.target_info'
collected 49951 items / 49519 deselected / 432 selected

test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype0-None-32-128-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype0-None-32-128-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype0-None-32-128-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype0-None-32-192-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype0-None-32-192-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype0-None-32-192-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype0-None-32-256-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype0-None-32-256-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype0-None-32-256-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype1-None-32-128-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype1-None-32-128-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype1-None-32-128-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype1-None-32-192-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype1-None-32-192-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype1-None-32-192-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype1-None-32-256-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype1-None-32-256-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-False-dtype1-None-32-256-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype0-None-32-128-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype0-None-32-128-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype0-None-32-128-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype0-None-32-192-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype0-None-32-192-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype0-None-32-192-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype0-None-32-256-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype0-None-32-256-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype0-None-32-256-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype1-None-32-128-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype1-None-32-128-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype1-None-32-128-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype1-None-32-192-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype1-None-32-192-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype1-None-32-192-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype1-None-32-256-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype1-None-32-256-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-None-True-dtype1-None-32-256-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-10.0-False-dtype0-None-32-128-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-10.0-False-dtype0-None-32-128-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-10.0-False-dtype0-None-32-128-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-10.0-False-dtype0-None-32-192-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-10.0-False-dtype0-None-32-192-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-10.0-False-dtype0-None-32-192-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-10.0-False-dtype0-None-32-256-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-10.0-False-dtype0-None-32-256-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-10.0-False-dtype0-None-32-256-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-10.0-False-dtype1-None-32-128-num_heads0-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-10.0-False-dtype1-None-32-128-num_heads1-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-10.0-False-dtype1-None-32-128-num_heads2-seq_lens0] SKIPPED
test_flash_attn_varlen_func.py::test_flash_attn_varlen_func[False-32768-10.0-False-dtype1-None-32-192-num_heads0-seq_lens0] SKIPPED
