============================= test session starts ==============================
platform linux -- Python 3.10.18, pytest-9.1.1, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch29_cuda/bin/python3.10
cachedir: .pytest_cache
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: anyio-4.9.0, typeguard-4.3.0
collecting ... WARNING 07-24 00:54:32 [interface.py:226] Failed to import from vllm._C: ImportError('/root/miniconda/envs/python310_torch29_cuda/lib/python3.10/site-packages/vllm/_C.abi3.so: undefined symbol: _ZN3c104cuda29c10_cuda_check_implementationEiPKcS2_jb')
WARNING 07-24 00:54:34 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 00:54:34 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-24 00:54:34 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 00:54:34 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 00:54:34 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-24 00:54:34 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 00:54:34 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 00:54:34 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-24 00:54:34 [interface.py:599] Current platform  does not have '__test__' attribute.
ERROR 07-24 00:54:35 [config.py:29] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: No module named 'triton.language.target_info'
collected 49951 items / 49789 deselected / 162 selected

test_masked_fill.py::test_masked_fill[tensor-0.3-dtype0-shape0] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype0-shape1] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype0-shape2] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype0-shape3] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype0-shape4] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype0-shape5] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype1-shape0] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype1-shape1] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype1-shape2] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype1-shape3] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype1-shape4] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype1-shape5] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype2-shape0] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype2-shape1] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype2-shape2] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype2-shape3] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype2-shape4] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.3-dtype2-shape5] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype0-shape0] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype0-shape1] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype0-shape2] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype0-shape3] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype0-shape4] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype0-shape5] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype1-shape0] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype1-shape1] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype1-shape2] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype1-shape3] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype1-shape4] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype1-shape5] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype2-shape0] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype2-shape1] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype2-shape2] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype2-shape3] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype2-shape4] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.5-dtype2-shape5] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype0-shape0] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype0-shape1] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype0-shape2] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype0-shape3] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype0-shape4] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype0-shape5] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype1-shape0] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype1-shape1] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype1-shape2] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype1-shape3] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype1-shape4] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype1-shape5] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype2-shape0] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype2-shape1] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype2-shape2] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype2-shape3] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype2-shape4] PASSED
test_masked_fill.py::test_masked_fill[tensor-0.7-dtype2-shape5] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype0-shape0] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype0-shape1] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype0-shape2] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype0-shape3] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype0-shape4] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype0-shape5] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype1-shape0] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype1-shape1] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype1-shape2] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype1-shape3] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype1-shape4] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype1-shape5] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype2-shape0] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype2-shape1] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype2-shape2] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype2-shape3] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype2-shape4] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.3-dtype2-shape5] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.5-dtype0-shape0] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.5-dtype0-shape1] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.5-dtype0-shape2] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.5-dtype0-shape3] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.5-dtype0-shape4] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.5-dtype0-shape5] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.5-dtype1-shape0] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.5-dtype1-shape1] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.5-dtype1-shape2] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.5-dtype1-shape3] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.5-dtype1-shape4] PASSED
test_masked_fill.py::test_masked_fill[scalar_tensor-0.5-dtype1-shape5] PASSED
