============================= test session starts ==============================
platform linux -- Python 3.10.18, pytest-9.1.1, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch29_cuda/bin/python3.10
cachedir: .pytest_cache
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: anyio-4.9.0, typeguard-4.3.0
collecting ... WARNING 07-24 01:20:37 [interface.py:226] Failed to import from vllm._C: ImportError('/root/miniconda/envs/python310_torch29_cuda/lib/python3.10/site-packages/vllm/_C.abi3.so: undefined symbol: _ZN3c104cuda29c10_cuda_check_implementationEiPKcS2_jb')
WARNING 07-24 01:20:39 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 01:20:39 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-24 01:20:39 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 01:20:39 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 01:20:39 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-24 01:20:39 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 01:20:39 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 01:20:39 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-24 01:20:39 [interface.py:599] Current platform  does not have '__test__' attribute.
ERROR 07-24 01:20:40 [config.py:29] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: No module named 'triton.language.target_info'
collected 49951 items / 49771 deselected / 180 selected

test_norm.py::test_norm_scalaropt_dim[dtype0-True-0-2-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0-2-shape1] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0-2-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0-inf-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0-inf-shape1] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0-inf-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0--inf-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0--inf-shape1] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0--inf-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0-0-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0-0-shape1] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0-0-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0-1-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0-1-shape1] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-0-1-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1-2-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1-2-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1-2-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1-inf-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1-inf-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1-inf-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1--inf-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1--inf-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1--inf-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1-0-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1-0-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1-0-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1-1-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1-1-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-1-1-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2-2-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2-2-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2-2-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2-inf-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2-inf-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2-inf-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2--inf-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2--inf-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2--inf-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2-0-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2-0-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2-0-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2-1-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2-1-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-True-dim2-1-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3-2-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3-2-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3-2-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3-inf-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3-inf-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3-inf-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3--inf-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3--inf-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3--inf-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3-0-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3-0-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3-0-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3-1-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3-1-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype0-False-dim3-1-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0-2-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0-2-shape1] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0-2-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0-inf-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0-inf-shape1] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0-inf-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0--inf-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0--inf-shape1] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0--inf-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0-0-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0-0-shape1] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0-0-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0-1-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0-1-shape1] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype1-True-0-1-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype1-False-1-2-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype1-False-1-2-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype1-False-1-2-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype1-False-1-inf-shape0] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype1-False-1-inf-shape1] PASSED
test_norm.py::test_norm_scalaropt_dim[dtype1-False-1-inf-shape2] FAILED
test_norm.py::test_norm_scalaropt_dim[dtype1-False-1--inf-shape0] PASSED
