============================= test session starts ==============================
platform linux -- Python 3.10.18, pytest-9.1.1, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch29_cuda/bin/python3.10
cachedir: .pytest_cache
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: anyio-4.9.0, typeguard-4.3.0
collecting ... WARNING 07-24 02:09:00 [interface.py:226] Failed to import from vllm._C: ImportError('/root/miniconda/envs/python310_torch29_cuda/lib/python3.10/site-packages/vllm/_C.abi3.so: undefined symbol: _ZN3c104cuda29c10_cuda_check_implementationEiPKcS2_jb')
WARNING 07-24 02:09:03 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 02:09:03 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-24 02:09:03 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 02:09:03 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 02:09:03 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-24 02:09:03 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 02:09:03 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 02:09:03 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-24 02:09:03 [interface.py:599] Current platform  does not have '__test__' attribute.
ERROR 07-24 02:09:04 [config.py:29] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: No module named 'triton.language.target_info'
collected 49951 items / 49719 deselected / 232 selected

test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype0-shape0] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype0-shape1] PASSED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype0-shape2] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype0-shape3] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype0-shape4] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype0-shape5] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype1-shape0] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype1-shape1] PASSED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype1-shape2] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype1-shape3] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype1-shape4] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype1-shape5] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype2-shape0] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype2-shape1] PASSED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype2-shape2] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype2-shape3] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype2-shape4] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-0-dtype2-shape5] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype0-shape0] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype0-shape1] PASSED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype0-shape2] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype0-shape3] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype0-shape4] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype0-shape5] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype1-shape0] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype1-shape1] PASSED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype1-shape2] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype1-shape3] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype1-shape4] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype1-shape5] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype2-shape0] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype2-shape1] PASSED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype2-shape2] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype2-shape3] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype2-shape4] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-1-dtype2-shape5] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype0-shape0] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype0-shape1] PASSED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype0-shape2] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype0-shape3] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype0-shape4] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype0-shape5] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype1-shape0] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype1-shape1] PASSED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype1-shape2] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype1-shape3] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype1-shape4] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype1-shape5] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype2-shape0] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype2-shape1] PASSED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype2-shape2] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype2-shape3] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype2-shape4] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.0-2-dtype2-shape5] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype0-shape0] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype0-shape1] PASSED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype0-shape2] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype0-shape3] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype0-shape4] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype0-shape5] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype1-shape0] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype1-shape1] PASSED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype1-shape2] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype1-shape3] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype1-shape4] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype1-shape5] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype2-shape0] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype2-shape1] PASSED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype2-shape2] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype2-shape3] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype2-shape4] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-0-dtype2-shape5] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-1-dtype0-shape0] FAILED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-1-dtype0-shape1] PASSED
test_smooth_l1_loss.py::test_smooth_l1_loss[0.5-1-dtype0-shape2] FAILED
