============================= test session starts ==============================
platform linux -- Python 3.10.18, pytest-9.1.1, pluggy-1.6.0 -- /root/miniconda/envs/python310_torch29_cuda/bin/python3.10
cachedir: .pytest_cache
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: anyio-4.9.0, typeguard-4.3.0
collecting ... WARNING 07-24 02:30:24 [interface.py:226] Failed to import from vllm._C: ImportError('/root/miniconda/envs/python310_torch29_cuda/lib/python3.10/site-packages/vllm/_C.abi3.so: undefined symbol: _ZN3c104cuda29c10_cuda_check_implementationEiPKcS2_jb')
WARNING 07-24 02:30:26 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 02:30:26 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-24 02:30:26 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 02:30:26 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 02:30:26 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-24 02:30:26 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 02:30:26 [interface.py:599] Current platform  does not have '__test__' attribute.
WARNING 07-24 02:30:26 [interface.py:599] Current platform  does not have '__bases__' attribute.
WARNING 07-24 02:30:26 [interface.py:599] Current platform  does not have '__test__' attribute.
ERROR 07-24 02:30:27 [config.py:29] Failed to import Triton kernels. Please make sure your triton version is compatible. Error: No module named 'triton.language.target_info'
collected 49951 items / 49825 deselected / 126 selected

test_tile.py::test_tile[dtype0-dims0-shape0] PASSED
test_tile.py::test_tile[dtype0-dims0-shape1] PASSED
test_tile.py::test_tile[dtype0-dims0-shape2] PASSED
test_tile.py::test_tile[dtype0-dims0-shape3] PASSED
test_tile.py::test_tile[dtype0-dims0-shape4] PASSED
test_tile.py::test_tile[dtype0-dims0-shape5] PASSED
test_tile.py::test_tile[dtype0-dims1-shape0] PASSED
test_tile.py::test_tile[dtype0-dims1-shape1] PASSED
test_tile.py::test_tile[dtype0-dims1-shape2] PASSED
test_tile.py::test_tile[dtype0-dims1-shape3] PASSED
test_tile.py::test_tile[dtype0-dims1-shape4] PASSED
test_tile.py::test_tile[dtype0-dims1-shape5] PASSED
test_tile.py::test_tile[dtype0-dims2-shape0] PASSED
test_tile.py::test_tile[dtype0-dims2-shape1] PASSED
test_tile.py::test_tile[dtype0-dims2-shape2] PASSED
test_tile.py::test_tile[dtype0-dims2-shape3] PASSED
test_tile.py::test_tile[dtype0-dims2-shape4] PASSED
test_tile.py::test_tile[dtype0-dims2-shape5] PASSED
test_tile.py::test_tile[dtype0-dims3-shape0] PASSED
test_tile.py::test_tile[dtype0-dims3-shape1] PASSED
test_tile.py::test_tile[dtype0-dims3-shape2] PASSED
test_tile.py::test_tile[dtype0-dims3-shape3] PASSED
test_tile.py::test_tile[dtype0-dims3-shape4] PASSED
test_tile.py::test_tile[dtype0-dims3-shape5] PASSED
test_tile.py::test_tile[dtype0-dims4-shape0] PASSED
test_tile.py::test_tile[dtype0-dims4-shape1] PASSED
test_tile.py::test_tile[dtype0-dims4-shape2] PASSED
test_tile.py::test_tile[dtype0-dims4-shape3] PASSED
test_tile.py::test_tile[dtype0-dims4-shape4] PASSED
test_tile.py::test_tile[dtype0-dims4-shape5] PASSED
test_tile.py::test_tile[dtype0-dims5-shape0] PASSED
test_tile.py::test_tile[dtype0-dims5-shape1] PASSED
test_tile.py::test_tile[dtype0-dims5-shape2] PASSED
test_tile.py::test_tile[dtype0-dims5-shape3] PASSED
test_tile.py::test_tile[dtype0-dims5-shape4] PASSED
test_tile.py::test_tile[dtype0-dims5-shape5] PASSED
test_tile.py::test_tile[dtype0-dims6-shape0] PASSED
test_tile.py::test_tile[dtype0-dims6-shape1] PASSED
test_tile.py::test_tile[dtype0-dims6-shape2] PASSED
test_tile.py::test_tile[dtype0-dims6-shape3] PASSED
test_tile.py::test_tile[dtype0-dims6-shape4] PASSED
test_tile.py::test_tile[dtype0-dims6-shape5] PASSED
test_tile.py::test_tile[dtype1-dims0-shape0] PASSED
test_tile.py::test_tile[dtype1-dims0-shape1] PASSED
test_tile.py::test_tile[dtype1-dims0-shape2] PASSED
test_tile.py::test_tile[dtype1-dims0-shape3] PASSED
test_tile.py::test_tile[dtype1-dims0-shape4] PASSED
test_tile.py::test_tile[dtype1-dims0-shape5] PASSED
test_tile.py::test_tile[dtype1-dims1-shape0] PASSED
test_tile.py::test_tile[dtype1-dims1-shape1] PASSED
test_tile.py::test_tile[dtype1-dims1-shape2] PASSED
test_tile.py::test_tile[dtype1-dims1-shape3] PASSED
test_tile.py::test_tile[dtype1-dims1-shape4] PASSED
test_tile.py::test_tile[dtype1-dims1-shape5] PASSED
test_tile.py::test_tile[dtype1-dims2-shape0] PASSED
test_tile.py::test_tile[dtype1-dims2-shape1] PASSED
test_tile.py::test_tile[dtype1-dims2-shape2] PASSED
test_tile.py::test_tile[dtype1-dims2-shape3] PASSED
test_tile.py::test_tile[dtype1-dims2-shape4] PASSED
test_tile.py::test_tile[dtype1-dims2-shape5] PASSED
test_tile.py::test_tile[dtype1-dims3-shape0] PASSED
test_tile.py::test_tile[dtype1-dims3-shape1] PASSED
test_tile.py::test_tile[dtype1-dims3-shape2] PASSED
test_tile.py::test_tile[dtype1-dims3-shape3] PASSED
test_tile.py::test_tile[dtype1-dims3-shape4] PASSED
test_tile.py::test_tile[dtype1-dims3-shape5] PASSED
test_tile.py::test_tile[dtype1-dims4-shape0] PASSED
test_tile.py::test_tile[dtype1-dims4-shape1] PASSED
test_tile.py::test_tile[dtype1-dims4-shape2] PASSED
test_tile.py::test_tile[dtype1-dims4-shape3] PASSED
test_tile.py::test_tile[dtype1-dims4-shape4] PASSED
test_tile.py::test_tile[dtype1-dims4-shape5] PASSED
test_tile.py::test_tile[dtype1-dims5-shape0] PASSED
test_tile.py::test_tile[dtype1-dims5-shape1] PASSED
test_tile.py::test_tile[dtype1-dims5-shape2] PASSED
test_tile.py::test_tile[dtype1-dims5-shape3] PASSED
test_tile.py::test_tile[dtype1-dims5-shape4] PASSED
test_tile.py::test_tile[dtype1-dims5-shape5] PASSED
test_tile.py::test_tile[dtype1-dims6-shape0] PASSED
test_tile.py::test_tile[dtype1-dims6-shape1] PASSED
test_tile.py::test_tile[dtype1-dims6-shape2] PASSED
test_tile.py::test_tile[dtype1-dims6-shape3] PASSED
test_tile.py::test_tile[dtype1-dims6-shape4] PASSED
test_tile.py::test_tile[dtype1-dims6-shape5] PASSED
test_tile.py::test_tile[dtype2-dims0-shape0] PASSED
test_tile.py::test_tile[dtype2-dims0-shape1] PASSED
test_tile.py::test_tile[dtype2-dims0-shape2] PASSED
test_tile.py::test_tile[dtype2-dims0-shape3] PASSED
test_tile.py::test_tile[dtype2-dims0-shape4] PASSED
test_tile.py::test_tile[dtype2-dims0-shape5] PASSED
test_tile.py::test_tile[dtype2-dims1-shape0] PASSED
test_tile.py::test_tile[dtype2-dims1-shape1] PASSED
test_tile.py::test_tile[dtype2-dims1-shape2] PASSED
test_tile.py::test_tile[dtype2-dims1-shape3] PASSED
test_tile.py::test_tile[dtype2-dims1-shape4] PASSED
test_tile.py::test_tile[dtype2-dims1-shape5] PASSED
test_tile.py::test_tile[dtype2-dims2-shape0] PASSED
test_tile.py::test_tile[dtype2-dims2-shape1] PASSED
test_tile.py::test_tile[dtype2-dims2-shape2] PASSED
test_tile.py::test_tile[dtype2-dims2-shape3] PASSED
test_tile.py::test_tile[dtype2-dims2-shape4] PASSED
test_tile.py::test_tile[dtype2-dims2-shape5] PASSED
test_tile.py::test_tile[dtype2-dims3-shape0] PASSED
test_tile.py::test_tile[dtype2-dims3-shape1] PASSED
test_tile.py::test_tile[dtype2-dims3-shape2] PASSED
test_tile.py::test_tile[dtype2-dims3-shape3] PASSED
test_tile.py::test_tile[dtype2-dims3-shape4] PASSED
test_tile.py::test_tile[dtype2-dims3-shape5] PASSED
test_tile.py::test_tile[dtype2-dims4-shape0] PASSED
test_tile.py::test_tile[dtype2-dims4-shape1] PASSED
test_tile.py::test_tile[dtype2-dims4-shape2] PASSED
test_tile.py::test_tile[dtype2-dims4-shape3] PASSED
test_tile.py::test_tile[dtype2-dims4-shape4] PASSED
test_tile.py::test_tile[dtype2-dims4-shape5] PASSED
test_tile.py::test_tile[dtype2-dims5-shape0] PASSED
test_tile.py::test_tile[dtype2-dims5-shape1] PASSED
