============================= test session starts ==============================
platform linux -- Python 3.10.20, pytest-9.0.3, pluggy-1.6.0 -- /workspace/FlagGems/.venv/bin/python3
cachedir: .pytest_cache
rootdir: /workspace/FlagGems
configfile: pytest.ini
plugins: md-report-0.8.0
collecting ... vLLM not installed, the native pytorch implementation of FlashMLA for comparison
collected 49951 items / 49253 deselected / 698 selected

test_add.py::test_add[dtype0-0.001-shape0] PASSED
test_add.py::test_add[dtype0-0.001-shape1] PASSED
test_add.py::test_add[dtype0-0.001-shape2] PASSED
test_add.py::test_add[dtype0-0.001-shape3] PASSED
test_add.py::test_add[dtype0-0.001-shape4] PASSED
test_add.py::test_add[dtype0-0.001-shape5] PASSED
test_add.py::test_add[dtype0--0.999-shape0] PASSED
test_add.py::test_add[dtype0--0.999-shape1] PASSED
test_add.py::test_add[dtype0--0.999-shape2] PASSED
test_add.py::test_add[dtype0--0.999-shape3] PASSED
test_add.py::test_add[dtype0--0.999-shape4] PASSED
test_add.py::test_add[dtype0--0.999-shape5] PASSED
test_add.py::test_add[dtype0-100.001-shape0] PASSED
test_add.py::test_add[dtype0-100.001-shape1] PASSED
test_add.py::test_add[dtype0-100.001-shape2] PASSED
test_add.py::test_add[dtype0-100.001-shape3] PASSED
test_add.py::test_add[dtype0-100.001-shape4] PASSED
test_add.py::test_add[dtype0-100.001-shape5] PASSED
test_add.py::test_add[dtype0--111.999-shape0] PASSED
test_add.py::test_add[dtype0--111.999-shape1] PASSED
test_add.py::test_add[dtype0--111.999-shape2] PASSED
test_add.py::test_add[dtype0--111.999-shape3] PASSED
test_add.py::test_add[dtype0--111.999-shape4] PASSED
test_add.py::test_add[dtype0--111.999-shape5] PASSED
test_add.py::test_add[dtype1-0.001-shape0] PASSED
test_add.py::test_add[dtype1-0.001-shape1] PASSED
test_add.py::test_add[dtype1-0.001-shape2] PASSED
test_add.py::test_add[dtype1-0.001-shape3] PASSED
test_add.py::test_add[dtype1-0.001-shape4] PASSED
test_add.py::test_add[dtype1-0.001-shape5] PASSED
test_add.py::test_add[dtype1--0.999-shape0] PASSED
test_add.py::test_add[dtype1--0.999-shape1] PASSED
test_add.py::test_add[dtype1--0.999-shape2] PASSED
test_add.py::test_add[dtype1--0.999-shape3] PASSED
test_add.py::test_add[dtype1--0.999-shape4] PASSED
test_add.py::test_add[dtype1--0.999-shape5] PASSED
test_add.py::test_add[dtype1-100.001-shape0] PASSED
test_add.py::test_add[dtype1-100.001-shape1] PASSED
test_add.py::test_add[dtype1-100.001-shape2] PASSED
test_add.py::test_add[dtype1-100.001-shape3] PASSED
test_add.py::test_add[dtype1-100.001-shape4] PASSED
test_add.py::test_add[dtype1-100.001-shape5] PASSED
test_add.py::test_add[dtype1--111.999-shape0] PASSED
test_add.py::test_add[dtype1--111.999-shape1] PASSED
test_add.py::test_add[dtype1--111.999-shape2] PASSED
test_add.py::test_add[dtype1--111.999-shape3] PASSED
test_add.py::test_add[dtype1--111.999-shape4] PASSED
test_add.py::test_add[dtype1--111.999-shape5] PASSED
test_add.py::test_add[dtype2-0.001-shape0] PASSED
test_add.py::test_add[dtype2-0.001-shape1] PASSED
test_add.py::test_add[dtype2-0.001-shape2] PASSED
test_add.py::test_add[dtype2-0.001-shape3] PASSED
test_add.py::test_add[dtype2-0.001-shape4] PASSED
test_add.py::test_add[dtype2-0.001-shape5] PASSED
test_add.py::test_add[dtype2--0.999-shape0] PASSED
test_add.py::test_add[dtype2--0.999-shape1] PASSED
test_add.py::test_add[dtype2--0.999-shape2] PASSED
test_add.py::test_add[dtype2--0.999-shape3] PASSED
test_add.py::test_add[dtype2--0.999-shape4] PASSED
test_add.py::test_add[dtype2--0.999-shape5] PASSED
test_add.py::test_add[dtype2-100.001-shape0] PASSED
test_add.py::test_add[dtype2-100.001-shape1] PASSED
test_add.py::test_add[dtype2-100.001-shape2] PASSED
test_add.py::test_add[dtype2-100.001-shape3] PASSED
test_add.py::test_add[dtype2-100.001-shape4] PASSED
test_add.py::test_add[dtype2-100.001-shape5] PASSED
test_add.py::test_add[dtype2--111.999-shape0] PASSED
test_add.py::test_add[dtype2--111.999-shape1] PASSED
test_add.py::test_add[dtype2--111.999-shape2] PASSED
test_add.py::test_add[dtype2--111.999-shape3] PASSED
test_add.py::test_add[dtype2--111.999-shape4] PASSED
test_add.py::test_add[dtype2--111.999-shape5] PASSED
test_add.py::test_add_complex[complex-complex_dtype0-shape0] PASSED
test_add.py::test_add_complex[complex-complex_dtype0-shape1] PASSED
test_add.py::test_add_complex[complex-complex_dtype0-shape2] PASSED
test_add.py::test_add_complex[complex-complex_dtype0-shape3] PASSED
test_add.py::test_add_complex[complex-complex_dtype0-shape4] PASSED
test_add.py::test_add_complex[complex-complex_dtype0-shape5] PASSED
test_add.py::test_add_complex[complex-complex_dtype1-shape0] PASSED
test_add.py::test_add_complex[complex-complex_dtype1-shape1] PASSED
test_add.py::test_add_complex[complex-complex_dtype1-shape2] PASSED
test_add.py::test_add_complex[complex-complex_dtype1-shape3] PASSED
test_add.py::test_add_complex[complex-complex_dtype1-shape4] PASSED
test_add.py::test_add_complex[complex-complex_dtype1-shape5] PASSED
test_add.py::test_add_complex[float_tensor-complex_dtype0-shape0] PASSED
test_add.py::test_add_complex[float_tensor-complex_dtype0-shape1] PASSED
test_add.py::test_add_complex[float_tensor-complex_dtype0-shape2] PASSED
test_add.py::test_add_complex[float_tensor-complex_dtype0-shape3] PASSED
test_add.py::test_add_complex[float_tensor-complex_dtype0-shape4] PASSED
test_add.py::test_add_complex[float_tensor-complex_dtype0-shape5] PASSED
test_add.py::test_add_complex[float_tensor-complex_dtype1-shape0] PASSED
test_add.py::test_add_complex[float_tensor-complex_dtype1-shape1] PASSED
test_add.py::test_add_complex[float_tensor-complex_dtype1-shape2] PASSED
test_add.py::test_add_complex[float_tensor-complex_dtype1-shape3] PASSED
test_add.py::test_add_complex[float_tensor-complex_dtype1-shape4] PASSED
test_add.py::test_add_complex[float_tensor-complex_dtype1-shape5] PASSED
test_add.py::test_add_complex[int_tensor-complex_dtype0-shape0] PASSED
test_add.py::test_add_complex[int_tensor-complex_dtype0-shape1] PASSED
test_add.py::test_add_complex[int_tensor-complex_dtype0-shape2] PASSED
test_add.py::test_add_complex[int_tensor-complex_dtype0-shape3] PASSED
test_add.py::test_add_complex[int_tensor-complex_dtype0-shape4] PASSED
test_add.py::test_add_complex[int_tensor-complex_dtype0-shape5] PASSED
test_add.py::test_add_complex[int_tensor-complex_dtype1-shape0] PASSED
test_add.py::test_add_complex[int_tensor-complex_dtype1-shape1] PASSED
test_add.py::test_add_complex[int_tensor-complex_dtype1-shape2] PASSED
test_add.py::test_add_complex[int_tensor-complex_dtype1-shape3] PASSED
test_add.py::test_add_complex[int_tensor-complex_dtype1-shape4] PASSED
test_add.py::test_add_complex[int_tensor-complex_dtype1-shape5] PASSED
test_add.py::test_add_complex[int_scalar-complex_dtype0-shape0] PASSED
test_add.py::test_add_complex[int_scalar-complex_dtype0-shape1] PASSED
test_add.py::test_add_complex[int_scalar-complex_dtype0-shape2] PASSED
test_add.py::test_add_complex[int_scalar-complex_dtype0-shape3] PASSED
test_add.py::test_add_complex[int_scalar-complex_dtype0-shape4] PASSED
test_add.py::test_add_complex[int_scalar-complex_dtype0-shape5] PASSED
test_add.py::test_add_complex[int_scalar-complex_dtype1-shape0] PASSED
test_add.py::test_add_complex[int_scalar-complex_dtype1-shape1] PASSED
test_add.py::test_add_complex[int_scalar-complex_dtype1-shape2] PASSED
test_add.py::test_add_complex[int_scalar-complex_dtype1-shape3] PASSED
test_add.py::test_add_complex[int_scalar-complex_dtype1-shape4] PASSED
test_add.py::test_add_complex[int_scalar-complex_dtype1-shape5] PASSED
test_add.py::test_add_tensor_scalar[dtype0-0.001-0.001-shape0] PASSED
test_add.py::test_add_tensor_scalar[dtype0-0.001-0.001-shape1] PASSED
test_add.py::test_add_tensor_scalar[dtype0-0.001-0.001-shape2] PASSED
test_add.py::test_add_tensor_scalar[dtype0-0.001-0.001-shape3] PASSED
test_add.py::test_add_tensor_scalar[dtype0-0.001-0.001-shape4] PASSED
test_add.py::test_add_tensor_scalar[dtype0-0.001-0.001-shape5] PASSED
test_add.py::test_add_tensor_scalar[dtype0-0.001--0.999-shape0] PASSED
test_add.py::test_add_tensor_scalar[dtype0-0.001--0.999-shape1] PASSED
